,TAXI_OUT
22268,18
19550,25
10104,35
9906,36
10084,34
10978,12
8962,15
11221,20
15470,23
17241,21
17378,26
22677,29
7488,17
22868,16
16611,17
6302,16
9599,14
24889,25
25540,19
3207,13
27775,28
5045,22
18988,21
26145,18
18636,39
9355,20
8676,24
6921,18
26828,14
25978,12
2663,26
22043,15
27903,16
28473,22
24038,15
20049,14
27998,22
11051,27
16338,25
14403,17
24554,21
17327,16
7371,14
17333,21
8364,27
13977,19
15113,14
16363,14
7789,36
2707,16
15781,16
3682,14
19417,29
14951,24
10580,22
23877,28
18725,20
6934,13
24466,30
1255,13
10961,37
27002,13
22857,13
27736,27
13078,28
172,26
17642,27
9886,33
13666,30
20994,25
3916,25
21733,25
2796,24
19127,13
20414,29
24556,13
18132,14
21380,30
18040,40
4653,14
2205,33
17575,12
15988,22
19614,8
1898,12
27605,11
22657,22
24775,9
11360,20
20122,13
17469,16
22520,18
2895,28
23461,18
2336,17
27503,27
20408,21
13521,14
13160,29
6600,15
5474,12
16242,21
12615,12
10256,27
2302,23
22028,17
13650,33
23044,14
27101,18
22006,14
27582,21
6433,17
27984,15
5695,14
24737,18
27598,17
28480,27
5693,19
27692,14
4865,32
5767,18
28284,25
2899,12
5791,14
1181,30
13584,20
10821,16
20837,13
970,27
19724,37
8250,13
19294,19
15911,15
26085,16
22933,14
6755,21
17835,21
23253,15
26264,29
23750,14
24143,21
20963,23
10535,17
13212,15
20765,41
2856,14
6959,21
942,23
11399,22
18679,16
16828,19
20821,17
26563,36
24943,12
8977,26
24810,16
12066,41
23502,24
4409,26
21836,15
16057,23
10587,19
25781,22
652,16
14032,17
3957,20
8532,23
3781,28
19693,19
18593,35
27438,17
3510,16
23031,28
16435,20
27533,28
22186,15
23037,15
22800,22
22750,19
13008,21
6676,14
4084,24
17795,28
22646,13
12811,32
9829,31
18802,17
552,17
1371,22
10834,25
4476,31
3035,16
28010,21
20484,17
19208,31
702,18
3644,16
25128,22
5291,14
9710,16
8188,24
12833,33
18301,23
27554,17
473,13
8852,30
13771,30
5831,26
10332,13
3230,19
7091,24
16914,15
23635,10
21556,22
16655,28
741,15
18044,36
26155,24
18889,17
8314,41
7259,41
8234,17
5786,15
12879,20
27774,19
20778,24
24328,16
19194,32
5077,19
22864,13
15864,13
23375,22
19695,36
25038,18
26908,13
10652,16
4501,16
10490,22
20534,32
3878,21
4643,28
22125,34
25644,17
2392,19
21337,16
17303,18
14621,19
3437,20
28259,27
2826,21
7051,16
